MergeSort,0.000,100
MergeSort,0.002,1000
MergeSort,0.013,5000
MergeSort,0.029,10000
MergeSort,0.062,20000
MergeSort,0.098,30000
MergeSort,0.182,40000
MergeSort,0.179,50000
MergeSort,0.217,60000
MergeSort,0.369,100000
HybridMergeSort,0.000,100
HybridMergeSort,0.002,1000
HybridMergeSort,0.020,5000
HybridMergeSort,0.042,10000
HybridMergeSort,0.109,20000
HybridMergeSort,0.138,30000
HybridMergeSort,0.203,40000
HybridMergeSort,0.246,50000
HybridMergeSort,0.299,60000
HybridMergeSort,0.513,100000
BubbleSort,0.001,100
BubbleSort,0.084,1000
BubbleSort,2.250,5000
BubbleSort,9.612,10000
BubbleSort,37.979,20000
BubbleSort,84.477,30000
BubbleSort,162.490,40000
BubbleSort,323.329,50000
BubbleSort,357.932,60000
BubbleSort,1006.856,100000
InsertionSort,0.000,100
InsertionSort,0.023,1000
InsertionSort,0.646,5000
InsertionSort,2.491,10000
InsertionSort,10.669,20000
InsertionSort,22.680,30000
InsertionSort,41.068,40000
InsertionSort,66.293,50000
InsertionSort,91.793,60000
InsertionSort,270.083,100000
SelectionSort,0.000,100
SelectionSort,0.025,1000
SelectionSort,0.621,5000
SelectionSort,2.504,10000
SelectionSort,10.162,20000
SelectionSort,23.211,30000
SelectionSort,40.795,40000
SelectionSort,65.073,50000
SelectionSort,94.039,60000
SelectionSort,259.129,100000
MergeSort,2.398,500000
MergeSort,4.985,1000000
HybridMergeSort,3.635,500000
HybridMergeSort,8.406,1000000
